FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0516.1.SP2	6.7756e-06	1.3890e-03	249	47	17495	6391	84.12%	73.24%	IFFO1,PTGS1,HSPA7,TIMP2,LTB4R2,NISCH,GNPDA1,TNNC1,CAMK2G,RCBTB2,RASAL1,ADD3,KIF2A,TMEM173,B3GNT6,SPINT1,DHRS9,CAMK1,NT5DC2,ARHGEF3,PARD6A,CYBRD1,IRF2BP2,HRSP12,FLII,SHMT1,TTYH2,TTYH3,CREBRF,TPGS1,ZNF788,SLC12A9,WDR67,XK,CDKN2C,RNASE4,FAM210B,RNASE6,CRYL1,ALOX5,HK1,POLR3GL,XYLT1,USP39,IMPA2,CCDC151,LOC100505933,ATP2B2,TESK2,TSC22D3,NTPCR,AKD1,PSRC1,INPP5D,MANBA,KIAA0930,HSD17B4,NME8,PTK2B,ZADH2,AMT,RUNX3,POP1,PLEKHA7,RHBDD2,CD300C,CD300A,SLC19A1,TNFSF12,SNX1,APBB1IP,C20ORF201,TMEM170B,CDKN1C,NUAK2,NOP2,RASSF7,HIBADH,GLUL,ARHGAP9,SLC29A1,GPBAR1,CD99L2,CHKA,DPEP2,CYSLTR1,PLXNB2,YPEL4,MT1X,NCKIPSD,TRABD,SEMA4D,NOTCH1,SNHG7,MIR548O2,NCEH1,PNPLA2,CARD9,PIK3R2,GRAMD4,FAM96A,SNX30,GPR160,SLC46A2,SLC46A3,SH2D3C,FAM102B,SLC23A1,PLCB2,RNF44,EPHB6,ENG,C11ORF35,ACSF2,TSHZ1,TMEM129,MAN2A2,AKNA,ZNF580,GATSL3,SLC39A11,ZNF589,LRMP,GIMAP6,RAB37,IL11RA,AUH,ADRBK1,OLFML2B,PMP22,ANG,HSPBAP1,HENMT1,SMIM4,SHB,MEF2C,FAM105A,SNCA,STK38,BAIAP2,RNF125,TMEM218,GIMAP4,SNX27,ACP5,TMC6,MFNG,HDAC4,TRERF1,ACD,MYO1F,TMC8,CD300LF,OLFM1,PRKCSH,CD300LB,CORO2A,LOC553103,PELI2,FAM53B,TBC1D2,DEF8,CASK,REPS2,TMEM150A,MAPK3,AZI1,ELMSAN1,KIAA1147,DIS3L,PTPMT1,ZMAT3,KIAA0513,ARL4C,TGFBR2,HHEX,ACACB,ACSS2,ANKRD34A,RXRA,IER5L,SORD,ASGR1,GGA2,LOC100507373,FES,CASP2,SLC27A1,GPR34,RNF166,RAB11FIP1,TRIT1,RGS12,RGS13,LRRC31,TACC3,ID3,IRS2,REEP4,MIR4687,TRAM2,IDH1-AS1,ALAD,KLHL7-AS1,AVPI1,FAM117B,SH3PXD2A,LOC644248,STIM1,COLGALT1,HBEGF,HMGB3,HMGB2,NLRP12,LOC100128164,CAT,CORO1B,FOXO1,CORO1A,HN1,SCAP,SMARCA2,OPRL1,GCHFR,RERE,UBASH3B,LPIN2,SLC9A3R1,RAB5B,TNFSF12-TNFSF13,PTGFRN,ATOH8,MIR3615,RGS2,CXCR4,PYCARD,EPAS1,MBP,IDH1,ASF1B,PDK4,SLC37A2,APMAP,ZNF362,GLIPR2,ZBTB4,SLC24A6,MIS18BP1,FCRLB,DIRC2,ACAP1,BCYRN1,ZNF395,MGAT1,MAN1C1,CREB5,NHS,SAP30,KIAA1211L,SSBP2,CIDEB,FOXN3,BAIAP2-AS1,NICN1,E2F2,KLHL7,HVCN1,TMEM39B,PFKFB4,FN3KRP,ZNF467,PDK3,TMEM144,GNGT2,NUP214,CMTM7,EEPD1
MA0039.2.Klf4	2.9911e-05	3.0659e-03	217	79	14812	9074	73.31%	62.01%	PTGS1,ADD3,TIMP2,KLHL24,LTB4R2,NISCH,TNNC1,CD36,CAMK2G,VPS8,RCBTB2,RASAL1,ALAD,KIF2A,SPINT1,DHRS9,CAMK1,NT5DC2,ATOH8,ARHGEF3,PARD6A,CYBRD1,IRF2BP2,SHMT1,TTYH2,TTYH3,CREBRF,TPGS1,ZNF788,SLC12A9,WDR67,SETDB2,RNASE4,FAM210B,RAB5B,CRYL1,ALOX5,HK1,POLR3GL,XYLT1,USP39,IMPA2,CCDC151,LOC100505933,ATP2B2,TESK2,TSC22D3,NTPCR,AKD1,PSRC1,INPP5D,MANBA,KIAA0930,PTK2B,AMT,RUNX3,SNHG7,PLEKHA7,RHBDD2,ZNF395,SLC19A1,ALPK1,SNX1,C20ORF201,TMEM170B,CDKN1C,NUAK2,CELF2,RASSF7,MGST2,GLUL,SLC29A1,GPBAR1,TPK1,CD99L2,CHKA,MIR3615,PLXNB2,YPEL4,SAP30,NCKIPSD,TRABD,SEMA4D,NOTCH1,MIR548O2,PNPLA2,SLC35A1,GRAMD4,FAM96A,SNX30,SLC46A2,MIR4687,FAM102B,SLC23A1,PLCB2,ENG,C11ORF35,ACSF2,RNF44,TMEM129,MAN2A2,ZNF580,GATSL3,SLC39A11,BRF2,CORO2A,RAB37,GIMAP1,AUH,ADRBK1,OLFML2B,ANG,HSPBAP1,SMIM4,SHB,NHS,PRDM1,FAM105A,STK38,BAIAP2,RNF125,TMEM218,SNX27,ACP5,TMC6,MFNG,HDAC4,TRERF1,ACD,MYO1F,TMC8,OLFM1,PRKCSH,CD300LB,LAT2,PSTPIP1,LOC553103,GIMAP7,PELI2,FAM53B,TBC1D2,DEF8,GIMAP1-GIMAP5,REPS2,TMEM150A,MAPK3,AZI1,ELMSAN1,DIS3L,PTPMT1,ZMAT3,KIAA0513,ARL4C,XK,HHEX,EPAS1,ACSS2,ANKRD34A,RXRA,IER5L,SORD,ASGR1,GGA2,FES,CASP2,SLC27A1,RAB11FIP1,RGS12,RGS13,IL11RA,LRRC31,TACC3,ID3,IRS2,REEP4,HN1,TRAM2,IDH1-AS1,KLHL7-AS1,AVPI1,FAM117B,SH3PXD2A,STIM1,COLGALT1,HBEGF,HMGB3,HMGB2,SH2D3C,LOC100128164,CAT,FOXO1,NLRP12,SMARCA2,OPRL1,GCHFR,RERE,UBASH3B,SLC9A3R1,CATSPER1,PTGFRN,DNASE2,RGS2,CXCR4,MNDA,PYCARD,IDH1,PDK4,SLC37A2,APMAP,ZNF362,GLIPR2,ZBTB4,SLC24A6,MIS18BP1,FCRLB,DIRC2,ACAP1,BCYRN1,MGAT1,MAN1C1,CREB5,KIAA1211L,SSBP2,CIDEB,KIAA1147,BAIAP2-AS1,NICN1,E2F2,KLHL7,HVCN1,TMEM39B,PFKFB4,FN3KRP,ZNF467,PDK3,TMEM144,GNGT2,CMTM7,EEPD1
MA0079.3.SP1	1.1880e-04	8.1177e-03	248	48	17835	6051	83.78%	74.67%	IFFO1,PTGS1,ADD3,TIMP2,KLHL24,LTB4R2,NISCH,GNPDA1,TNNC1,TNFSF12-TNFSF13,PTK2B,RCBTB2,RASAL1,ALAD,KIF2A,TMEM173,B3GNT6,SPINT1,DHRS9,CAMK1,NT5DC2,NCF4,ARHGEF3,PARD6A,CYBRD1,IRF2BP2,HRSP12,FLII,SHMT1,TTYH2,TTYH3,CREBRF,TPGS1,ZNF788,SLC12A9,WDR67,RNASE4,FAM210B,RNASE6,CRYL1,ALOX5,CAMK2G,POLR3GL,XYLT1,USP39,IMPA2,CCDC151,LOC100505933,ATP2B2,TESK2,TSC22D3,NTPCR,AKD1,PSRC1,INPP5D,MANBA,KIAA0930,HSD17B4,NME8,ZADH2,AMT,RUNX3,POP1,PLEKHA7,RHBDD2,CD300C,CD300A,SLC19A1,TNFSF12,SNX1,APBB1IP,C20ORF201,TMEM170B,CDKN1C,NUAK2,NOP2,CELF2,RASSF7,HIBADH,ARHGAP9,SLC29A1,GPBAR1,CD99L2,CHKA,MIR3615,CYSLTR1,PLXNB2,YPEL4,MT1X,NCKIPSD,TRABD,SEMA4D,NOTCH1,SNHG7,MIR548O2,GPR34,PNPLA2,CARD9,PIK3R2,GRAMD4,SNX30,GPR160,SLC46A2,SLC46A3,SH2D3C,FAM102B,SLC23A1,PLCB2,RNF44,EPHB6,ENG,C11ORF35,ACSF2,TSHZ1,TMEM129,MAN2A2,ZNF580,GATSL3,SLC39A11,GIMAP8,ZNF589,LRMP,CORO2A,RAB37,IL11RA,AUH,ADRBK1,OLFML2B,PMP22,ANG,HSPBAP1,HENMT1,SMIM4,SHB,MEF2C,PRDM1,FAM105A,SNCA,STK38,BAIAP2,RNF125,TMEM218,SNX27,ACP5,TMC6,MFNG,HDAC4,TRERF1,ACD,MYO1F,TMC8,GIMAP4,OLFM1,PRKCSH,CD300LB,LAT2,PSTPIP1,LOC553103,PELI2,FAM53B,TBC1D2,DEF8,CASK,REPS2,TMEM150A,MAPK3,AZI1,ELMSAN1,AKNA,PTPMT1,ZMAT3,KIAA0513,ARL4C,XK,ZNF362,HHEX,ACACB,ACSS2,FAM96A,RXRA,IER5L,SORD,ASGR1,GGA2,LOC100507373,FES,CASP2,SLC27A1,RNF166,RAB11FIP1,TRIT1,RGS12,RGS13,LRRC31,TACC3,ID3,IRS2,REEP4,MIR4687,TRAM2,IDH1-AS1,BCYRN1,KLHL7-AS1,AVPI1,FAM117B,SH3PXD2A,LOC644248,STIM1,COLGALT1,HBEGF,HMGB3,HMGB2,NLRP12,LOC100128164,CAT,CORO1B,FOXO1,CORO1A,HN1,SCAP,SMARCA2,OPRL1,GCHFR,RERE,UBASH3B,LPIN2,SLC9A3R1,RAB5B,CATSPER1,PTGFRN,ATOH8,RGS2,CXCR4,PYCARD,MPPE1,EPAS1,MBP,IDH1,ASF1B,PDK4,SLC37A2,APMAP,HK1,GLIPR2,ZBTB4,SLC24A6,ANKRD34A,FCRLB,DIRC2,ACAP1,FCGR2A,ZNF395,MGAT1,MAN1C1,CREB5,NHS,SAP30,KIAA1211L,SSBP2,CIDEB,KIAA1147,BAIAP2-AS1,NICN1,E2F2,KLHL7,HVCN1,TMEM39B,PFKFB4,FN3KRP,ZNF467,PDK3,TMEM144,GNGT2,NUP214,CMTM7,EEPD1
MA0024.2.E2F1	1.9523e-04	9.8577e-03	126	170	7759	16127	42.57%	32.48%	PTGS1,HSPA7,TIMP2,LTB4R2,UBAC2,HIBADH,ADD3,KIF2A,SPINT1,CAMK1,ARHGEF3,IRF2BP2,TTYH2,TTYH3,NUP214,SLC12A9,WDR67,CDKN2C,RAB5B,CRYL1,ALOX5,ZNF362,XYLT1,KLHL7,IMPA2,LOC100505933,ATP2B2,INPP5D,MANBA,KIAA0930,ZADH2,RUNX3,SNHG7,PLEKHA7,CD300C,SLC19A1,TNFSF12,C20ORF201,CDKN1C,PTPMT1,RASSF7,SLC29A1,GPBAR1,CD99L2,CHKA,MIR3615,PLXNB2,SAP30,MIR548O2,LOC100507373,GRAMD4,SLC46A2,FAM102B,TMEM170B,EPHB6,C11ORF35,ACSF2,TSHZ1,SHB,SLC39A11,GIMAP8,BRF2,ADRBK1,EPAS1,SH3PXD2A,HSPBAP1,HENMT1,FAM105A,IL11RA,TMEM218,KLHL24,HDAC4,TRERF1,MYO1F,FAM53B,TBC1D2,DEF8,REPS2,HBEGF,AZI1,ATOH8,ARL4C,TGFBR2,HHEX,OLFML2B,LOC100128164,RXRA,IER5L,SORD,GGA2,FES,TRIT1,RGS12,ZMAT3,IRS2,IDH1-AS1,KLHL7-AS1,AVPI1,KIAA0513,STIM1,XK,HMGB3,HMGB2,SPATA20,FOXO1,CORO1A,SCAP,OPRL1,GCHFR,SLC37A2,LPIN2,SLC9A3R1,TNFSF12-TNFSF13,PTGFRN,AUH,MPPE1,MBP,IDH1,ASF1B,APMAP,HK1,ZBTB4,SLC24A6,MIR4687,DIRC2,MGAT1,MAN1C1,KIAA1211L,SSBP2,CIDEB,KIAA1147,RNF166,NOTCH1,FN3KRP,ZNF395,PDK3,ZNF467,EEPD1
MA0472.1.EGR2	2.6513e-04	9.8577e-03	188	108	12733	11153	63.51%	53.31%	IFFO1,PTGS1,HSPA7,TIMP2,LTB4R2,NISCH,GNPDA1,TNNC1,CHN2,CAMK2G,UBAC2,RCBTB2,RASAL1,MS4A7,SEMA4D,NCEH1,SPINT1,DHRS9,CAMK1,NT5DC2,ARHGEF3,PARD6A,CYBRD1,IRF2BP2,TTYH2,TTYH3,CREBRF,SLC12A9,WDR67,FAM210B,ZNF395,ALOX5,ZNF362,NAIP,RAB11FIP1,XYLT1,USP39,IMPA2,CCDC151,LOC100505933,ATP2B2,SHMT1,PSRC1,INPP5D,MANBA,KIAA0930,HSD17B4,PTK2B,ZADH2,AMT,RUNX3,PLEKHA7,RHBDD2,CD300A,SLC19A1,TNFSF12,CD1D,APBB1IP,C20ORF201,AKNA,CDKN1C,NUAK2,NOP2,CELF2,RASSF7,MGST2,HIBADH,GLUL,SLC29A1,GPBAR1,PTGFRN,DPEP2,CYSLTR1,PLXNB2,MT1X,NOTCH1,MIR548O2,LOC100507373,SLC35A1,GRAMD4,ATOH8,SNX30,MIR4687,FAM102B,TMEM170B,PLCB2,RNF44,EPHB6,PRKCSH,C11ORF35,ACSF2,TSHZ1,TMEM129,MAN2A2,ZNF580,GATSL3,SLC39A11,GIMAP6,GIMAP7,IL11RA,AUH,EPAS1,HENMT1,SMIM4,PRDM1,FAM105A,STK38,BAIAP2,BAIAP2-AS1,SNX27,TMC6,MFNG,HDAC4,TRERF1,ACD,TMC8,OLFM1,SLC37A2,CORO2A,LOC553103,PELI2,TBC1D2,REPS2,TMEM150A,HBEGF,AZI1,ELMSAN1,DIS3L,REEP4,KIAA0513,ARL4C,TGFBR2,HHEX,ACSS2,RXRA,IER5L,SORD,GGA2,FES,SLC27A1,RGS14,RGS12,RGS13,LRRC31,TACC3,ZMAT3,IRS2,HN1,TRAM2,IDH1-AS1,ALAD,KLHL7-AS1,AVPI1,FAM117B,SH3PXD2A,STIM1,COLGALT1,XK,HMGB2,SH2D3C,LOC100128164,CAT,FOXO1,CORO1A,NLRP12,SCAP,SMARCA2,OPRL1,GCHFR,RERE,LPIN2,SLC9A3R1,TNFSF12-TNFSF13,CHKA,DOK2,DNASE2,MIR3615,RGS2,CXCR4,PYCARD,MBP,IDH1,ASF1B,RAB37,HK1,ZBTB4,SLC24A6,FCRLB,BCYRN1,MGAT1,MAN1C1,CREB5,SAP30,KIAA1211L,SSBP2,CIDEB,ADD3,KIAA1147,NICN1,RNF166,KLHL7,HVCN1,PFKFB4,FN3KRP,ZNF467,PDK3,PDK4,CMTM7,EEPD1
MA0471.1.E2F6	2.8852e-04	9.8577e-03	188	108	12749	11137	63.51%	53.37%	PTGS1,HSPA7,TIMP2,LTB4R2,NISCH,GNPDA1,CAMK2G,PPIL3,UBAC2,TNNC1,HIBADH,ADD3,KIF2A,ZNF395,SPINT1,DHRS9,CAMK1,ARHGEF3,CYBRD1,IRF2BP2,TTYH3,CREBRF,MBNL2,ZNF788,SLC12A9,WDR67,CDKN2C,NCKIPSD,RAB5B,CRYL1,ALOX5,HK1,RAB11FIP1,POLR3GL,XYLT1,IMPA2,CCDC151,LOC100505933,SNX30,ATP2B2,TESK2,TSC22D3,AKD1,PSRC1,MANBA,KIAA0930,ANKRD34A,NME8,PTK2B,ZADH2,RUNX3,NHS,PLEKHA7,CD300C,CD300A,SLC19A1,TNFSF12,CD1D,APBB1IP,C20ORF201,AKNA,CDKN1C,PTPMT1,RASSF7,MGST2,GLUL,SLC29A1,GPBAR1,CD99L2,PTGFRN,MIR3615,PLXNB2,HBEGF,MT1X,TRABD,SEMA4D,MIR548O2,PNPLA2,SLC35A1,GRAMD4,ATOH8,FNDC3A,FAM102B,TMEM170B,EPHB6,ENG,C11ORF35,ACSF2,TSHZ1,TMEM129,SHB,SLC39A11,GIMAP8,ZNF589,LRMP,IL11RA,AUH,EPAS1,PMP22,HSPBAP1,MEF2C,PRDM1,FAM105A,SNCA,STK38,BAIAP2,RNF125,BAIAP2-AS1,SNX27,KLHL24,MFNG,HDAC4,TRERF1,MYO1F,SNX1,BRF2,OLFM1,PRKCSH,CD300LB,PELI2,FAM53B,TBC1D2,DEF8,REPS2,MAPK3,AZI1,ELMSAN1,REEP4,ZMAT3,KIAA0513,ARL4C,XK,ACACB,ACSS2,FAM96A,RXRA,ASGR1,GGA2,LOC100507373,FES,SLC27A1,TPGS1,RGS14,TRIT1,RGS12,LRRC31,TACC3,ID3,IRS2,IDH1-AS1,ALAD,AVPI1,FAM117B,SH3PXD2A,LOC644248,HMGB2,SPATA20,LOC100128164,NOTCH1,FOXO1,SCAP,SMARCA2,OPRL1,GCHFR,SLC37A2,UBASH3B,LPIN2,SLC9A3R1,TNFSF12-TNFSF13,CHKA,DNASE2,RGS2,CXCR4,MNDA,PYCARD,MPPE1,MBP,IDH1,ASF1B,PDK4,APMAP,ZNF362,ZBTB4,SLC24A6,MIS18BP1,FCRLB,DIRC2,ACAP1,MS4A6A,MGAT1,MAN1C1,CREB5,NIF3L1,KIAA1211L,SSBP2,CIDEB,RNF166,TMEM39B,PFKFB4,FN3KRP,ZNF467,PDK3,GNGT2,NUP214,CMTM7,EEPD1
MA0469.1.E2F3	5.0001e-04	1.4643e-02	169	127	11301	12585	57.09%	47.31%	PTGS1,HSPA7,LAT2,LTB4R2,NISCH,GNPDA1,CAMK2G,TNNC1,HIBADH,ADD3,KIF2A,ZNF395,SPINT1,CAMK1,ARHGEF3,PARD6A,CYBRD1,IRF2BP2,HRSP12,TTYH3,CREBRF,TPGS1,ZNF788,SLC12A9,WDR67,CDKN2C,NCKIPSD,RAB5B,CRYL1,ALOX5,HK1,POLR3GL,XYLT1,IMPA2,CCDC151,LOC100505933,SNX30,ATP2B2,TESK2,TSC22D3,PSRC1,MANBA,KIAA0930,NME8,PTK2B,ZADH2,RUNX3,POP1,CD300C,CD300A,TNFSF12,APBB1IP,C20ORF201,AKNA,CDKN1C,PTPMT1,RASSF7,MGST2,GLUL,SLC29A1,GPBAR1,CD99L2,PTGFRN,MIR3615,PLXNB2,MT1X,ZBTB4,SNHG7,MIR548O2,LOC100507373,SLC35A1,GRAMD4,ATOH8,FNDC3A,FAM102B,TMEM170B,EPHB6,ENG,C11ORF35,ACSF2,TSHZ1,TMEM129,GATSL3,SLC39A11,GIMAP8,ZNF589,LRMP,AUH,EPAS1,HSPBAP1,SHB,MEF2C,PRDM1,FAM105A,IL11RA,BAIAP2,TMEM218,KLHL24,MFNG,HDAC4,TRERF1,ACD,MYO1F,BRF2,OLFM1,PRKCSH,CD300LB,PELI2,FAM53B,TBC1D2,REPS2,HBEGF,AZI1,ELMSAN1,DIS3L,REEP4,ZMAT3,KIAA0513,ARL4C,XK,HHEX,ACACB,ACSS2,ANKRD34A,RXRA,ASGR1,TMEM144,FES,RAB11FIP1,TRIT1,RGS12,TACC3,ID3,IRS2,SLC23A1,ALAD,AVPI1,FAM117B,SH3PXD2A,STIM1,HMGB2,LOC100128164,NOTCH1,FOXO1,CORO1A,SCAP,SMARCA2,OPRL1,RERE,LPIN2,SLC9A3R1,TNFSF12-TNFSF13,CHKA,DNASE2,RGS2,CXCR4,MNDA,MPPE1,MBP,CREB5,ASF1B,SLC37A2,APMAP,ZNF362,RAB37,SLC24A6,MIR4687,DIRC2,ACAP1,MS4A6A,MGAT1,MAN1C1,SAP30,KIAA1211L,SSBP2,CIDEB,KIAA1147,BAIAP2-AS1,RNF166,TMEM39B,PFKFB4,FN3KRP,ZNF467,NUP214,CMTM7,EEPD1
MA0599.1.KLF5	1.6010e-03	4.1027e-02	225	71	16238	7648	76.01%	67.98%	PTGS1,ADD3,TIMP2,KLHL24,LTB4R2,NISCH,TNNC1,CD36,TNFSF12-TNFSF13,PTK2B,VPS8,RCBTB2,RASAL1,ALAD,KIF2A,ZNF395,SPINT1,CAMK1,NT5DC2,LAT2,ARHGEF3,PARD6A,CYBRD1,IRF2BP2,SHMT1,TTYH2,TTYH3,CREBRF,TPGS1,ZNF788,SLC12A9,WDR67,RNASE4,FAM210B,RAB5B,CRYL1,ALOX5,CAMK2G,XYLT1,USP39,IMPA2,CCDC151,LOC100505933,ATP2B2,TESK2,TSC22D3,NTPCR,AKD1,PSRC1,INPP5D,MANBA,KIAA0930,ZADH2,AMT,RUNX3,SNHG7,PLEKHA7,RHBDD2,CD300A,SLC19A1,TNFSF12,CD1D,APBB1IP,C20ORF201,TMEM170B,CDKN1C,PTPMT1,CELF2,RASSF7,MGST2,SLC29A1,GPBAR1,CD99L2,CHKA,MIR3615,CYSLTR1,PLXNB2,YPEL4,SAP30,NCKIPSD,TRABD,SEMA4D,NOTCH1,MIR548O2,PNPLA2,SLC35A1,PIK3IP1,GRAMD4,ATOH8,SNX30,SLC46A2,SLC46A3,SH2D3C,FAM102B,SLC23A1,PLCB2,RNF44,EPHB6,ENG,C11ORF35,ACSF2,TSHZ1,TMEM129,MAN2A2,ZNF580,GATSL3,SLC39A11,GIMAP4,CORO2A,RAB37,IL11RA,AUH,ADRBK1,OLFML2B,PMP22,ANG,HSPBAP1,HENMT1,SMIM4,SHB,MEF2C,PRDM1,FAM105A,SNCA,STK38,BAIAP2,RNF125,TMEM218,SNX27,ACP5,TMC6,MFNG,HDAC4,TRERF1,ACD,MYO1F,TMC8,SNX1,BRF2,OLFM1,PRKCSH,CD300LB,PSTPIP1,LOC553103,GIMAP7,PELI2,FAM53B,TBC1D2,DEF8,REPS2,TMEM150A,MAPK3,AZI1,ELMSAN1,REEP4,ZMAT3,KIAA0513,ARL4C,XK,ZNF362,HHEX,EPAS1,ACSS2,FAM96A,RXRA,IER5L,SORD,ASGR1,GGA2,LOC100507373,FES,CASP2,SLC27A1,E2F2,RAB11FIP1,RGS12,RGS13,LRRC31,TACC3,ID3,IRS2,MIR4687,TRAM2,IDH1-AS1,BCYRN1,KLHL7-AS1,AVPI1,FAM117B,SH3PXD2A,LOC644248,STIM1,COLGALT1,HBEGF,HMGB3,HMGB2,NLRP12,CAT,FOXO1,HN1,SCAP,SMARCA2,OPRL1,GCHFR,RERE,UBASH3B,SLC9A3R1,CATSPER1,PTGFRN,DNASE2,RGS2,CXCR4,PYCARD,HSD17B4,IDH1,ASF1B,PDK4,SLC37A2,APMAP,HK1,GLIPR2,ZBTB4,SLC24A6,MIS18BP1,FCRLB,DIRC2,ACAP1,FCGR2A,MGAT1,MAN1C1,CREB5,KIAA1211L,SSBP2,CIDEB,KIAA1147,BAIAP2-AS1,NICN1,RNF166,KLHL7,HVCN1,TMEM39B,PFKFB4,FN3KRP,ZNF467,PDK3,TMEM144,GNGT2,NUP214,CMTM7,EEPD1
MA0506.1.NRF1	5.3639e-03	9.6423e-02	117	179	7710	16176	39.53%	32.28%	IFFO1,TIMP2,HRSP12,NISCH,GNPDA1,TNNC1,KIF2A,SPINT1,PARD6A,IRF2BP2,TTYH2,TTYH3,NUP214,TPGS1,NCKIPSD,FAM210B,CRYL1,DPY30,TSC22D3,CAMK2G,RAB11FIP1,USP39,IMPA2,ATP2B2,SHMT1,NTPCR,AKD1,PSRC1,KIAA0930,MANBA,RUNX3,POP1,PLEKHA7,CDKN1C,NOP2,RASSF7,SLC29A1,PTGFRN,MIR3615,PLXNB2,SAP30,TRABD,MIR548O2,GRAMD4,SNX30,SLC46A2,FAM102B,TMEM170B,EPHB6,C11ORF35,ACSF2,TMEM129,ZNF580,GATSL3,BRF2,CORO2A,EPAS1,SMIM4,SHB,STK38,BAIAP2,BAIAP2-AS1,SNX27,ALAD,HDAC4,ACD,PSTPIP1,PELI2,TBC1D2,DEF8,REPS2,TMEM150A,MAPK3,ELMSAN1,KIAA1147,REEP4,KIAA0513,XK,AUH,RXRA,IER5L,FES,NT5DC2,RGS14,TRIT1,RGS12,TACC3,IRS2,SLC23A1,TRAM2,KLHL7-AS1,AVPI1,FAM117B,SH3PXD2A,STIM1,HMGB3,NOTCH1,FOXO1,CORO1A,SCAP,SMARCA2,GCHFR,RERE,SLC9A3R1,HBEGF,ARL4C,RGS2,CXCR4,MPPE1,MBP,ASF1B,RAB37,ZNF362,GLIPR2,ZBTB4,LOC100507373,MIR4687,BCYRN1,MGAT1,MAN1C1,KIAA1211L,FAM53B,FOXN3,CASP2,RNF166,KLHL7,PFKFB4,PDK3,ZNF467,EEPD1
MA0155.1.INSM1	5.3708e-03	9.6423e-02	135	161	9107	14779	45.61%	38.13%	IFFO1,TIMP2,GNPDA1,CHN2,PTK2B,HIBADH,MS4A7,SPINT1,CAMK1,NT5DC2,NCF4,PARD6A,CYBRD1,IRF2BP2,FLII,TTYH2,TPGS1,CDKN2C,NCKIPSD,IDH1,CAMK2G,XYLT1,IMPA2,SNX30,ATP2B2,TESK2,PSRC1,MANBA,KIAA0930,HSD17B4,RUNX3,NHS,PLEKHA7,RHBDD2,CD300C,CD300A,SLC19A1,SNX1,C20ORF201,CDKN1C,PTPMT1,NOP2,CELF2,RASSF7,GLUL,GPBAR1,CD99L2,ARL4C,DPEP2,PLXNB2,YPEL4,MT1X,TRABD,MIR548O2,PNPLA2,CARD9,PIK3R2,GRAMD4,FNDC3A,SLC46A2,FAM102B,PLCB2,EPHB6,ENG,C11ORF35,ZNF580,GATSL3,SLC39A11,GIMAP8,GIMAP4,LRMP,CORO2A,GIMAP1,HADH,SH3PXD2A,HENMT1,STK38,BAIAP2,BAIAP2-AS1,SNX27,KLHL24,TMC6,ACD,TMC8,CD300LF,OLFM1,CD300LB,PSTPIP1,SMIM4,TBC1D2,GIMAP1-GIMAP5,REPS2,IL11RA,HBEGF,AZI1,REEP4,ATOH8,HHEX,LOC100128164,FAM96A,BCYRN1,IER5L,SORD,FES,SLC27A1,RGS14,RGS12,LRRC31,ID3,HN1,TRAM2,IDH1-AS1,FAM117B,KIAA0513,COLGALT1,HMGB2,SPATA20,CORO1B,CORO1A,SH2D3C,SMARCA2,OPRL1,SLC37A2,UBASH3B,CHKA,RGS2,AUH,MBP,ALOX5,RAB37,GLIPR2,ZBTB4,ACAP1,MS4A6A,MGAT1,MAN1C1,CREB5,SSBP2,FAM53B,E2F2,NOTCH1,FN3KRP,ZNF395,GNGT2,ZNF467,FAM178A
