FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0159.1.RXR::RAR_DR5	3.7818e-03	7.0285e-01	9	6	5954	18213	60.0%	24.64%	CASP5,LRRK2,CCM2L,EMR2,EMR3,KIAA0226L,MET,MAP1LC3A,CREB5
MA0080.3.Spi1	6.8571e-03	7.0285e-01	13	2	12768	11399	86.67%	52.83%	CASP5,LRRK2,TNFAIP6,CCM2L,LRRC31,EMR2,EMR3,KIAA0226L,MET,SIGLEC10,MAP1LC3A,CCL23,CREB5
MA0491.1.JUND	1.5356e-02	7.7756e-01	6	9	3554	20613	40.0%	14.71%	LRRK2,EMR2,TNFAIP6,KIAA0226L,MET,CREB5
MA0477.1.FOSL1	1.5417e-02	7.7756e-01	6	9	3557	20610	40.0%	14.72%	LRRK2,EMR2,TNFAIP6,KIAA0226L,MET,CREB5
MA0476.1.FOS	1.9443e-02	7.7756e-01	6	9	3737	20430	40.0%	15.46%	LRRK2,EMR2,TNFAIP6,KIAA0226L,MET,CREB5
MA0490.1.JUNB	2.2758e-02	7.7756e-01	6	9	3866	20301	40.0%	16.0%	LRRK2,EMR2,TNFAIP6,KIAA0226L,MET,CREB5
MA0489.1.JUN.var.2	2.8029e-02	8.2084e-01	6	9	4046	20121	40.0%	16.74%	LRRK2,EMR2,TNFAIP6,KIAA0226L,MET,CREB5
MA0149.1.EWSR1-FLI1	3.3994e-02	8.7109e-01	13	2	14815	9352	86.67%	61.3%	SERPINA1,CASP5,DDIT4,LRRK2,TNFAIP6,CCM2L,CREB5,EMR3,KIAA0226L,MET,SIGLEC10,MAP1LC3A,CCL23
MA0099.2.JUN::FOS	4.3466e-02	9.5507e-01	5	10	3296	20871	33.33%	13.64%	MET,EMR2,TNFAIP6,CREB5,LRRK2
MA0467.1.Crx	4.9503e-02	9.5507e-01	6	9	4600	19567	40.0%	19.03%	SERPINA1,TNFAIP6,LRRC31,EMR2,EMR3,SIGLEC10
MA0504.1.NR2C2	5.3235e-02	9.5507e-01	10	5	10302	13865	66.67%	42.63%	SERPINA1,DDIT4,CCM2L,LRRC31,CREB5,KIAA0226L,MET,SIGLEC10,MAP1LC3A,CCL23
MA0095.2.YY1	6.8483e-02	9.5507e-01	8	7	7677	16490	53.33%	31.77%	CASP5,DDIT4,CCM2L,LRRC31,CREB5,KIAA0226L,SIGLEC10,MAP1LC3A
MA0468.1.DUX4	6.9138e-02	9.5507e-01	6	9	4977	19190	40.0%	20.59%	TNFAIP6,LRRK2,CCM2L,EMR2,EMR3,KIAA0226L
MA0486.1.HSF1	6.9442e-02	9.5507e-01	7	8	6302	17865	46.67%	26.08%	SERPINA1,CASP5,TNFAIP6,EMR2,EMR3,MAP1LC3A,CREB5
MA0052.2.MEF2A	6.9883e-02	9.5507e-01	10	5	10719	13448	66.67%	44.35%	CASP5,LRRK2,CCM2L,LRRC31,EMR2,TNFAIP6,KIAA0226L,SIGLEC10,MAP1LC3A,CCL23
MA0474.1.Erg	7.6308e-02	9.7770e-01	11	4	12489	11678	73.33%	51.68%	SERPINA1,TNFAIP6,LRRK2,CCM2L,LRRC31,EMR2,EMR3,KIAA0226L,MET,SIGLEC10,CCL23
MA0043.1.HLF	8.9614e-02	1.0000e+00	4	11	2832	21335	26.67%	11.72%	LRRC31,CREB5,TNFAIP6,MET
MA0019.1.Ddit3::Cebpa	1.0246e-01	1.0000e+00	5	10	4184	19983	33.33%	17.31%	SERPINA1,CCL23,DDIT4,KIAA0226L,SIGLEC10
MA0098.2.Ets1	1.0321e-01	1.0000e+00	10	5	11371	12796	66.67%	47.05%	SERPINA1,LRRK2,CCM2L,EMR2,TNFAIP6,KIAA0226L,MET,SIGLEC10,MAP1LC3A,CCL23
MA0478.1.FOSL2	1.0845e-01	1.0000e+00	7	8	6942	17225	46.67%	28.73%	SERPINA1,CCM2L,EMR2,TNFAIP6,KIAA0226L,MET,CREB5
MA0030.1.FOXF2	1.0971e-01	1.0000e+00	6	9	5580	18587	40.0%	23.09%	DDIT4,LRRK2,EMR2,EMR3,CCL23,CREB5
MA0135.1.Lhx3	1.1041e-01	1.0000e+00	7	8	6970	17197	46.67%	28.84%	CASP5,LRRK2,CCM2L,TNFAIP6,MET,SIGLEC10,CCL23
MA0105.3.NFKB1	1.1790e-01	1.0000e+00	7	8	7074	17093	46.67%	29.27%	CASP5,DDIT4,TNFAIP6,CCM2L,EMR2,EMR3,CCL23
MA0512.1.Rxra	1.2440e-01	1.0000e+00	8	7	8618	15549	53.33%	35.66%	CASP5,CCM2L,LRRC31,CREB5,EMR3,KIAA0226L,SIGLEC10,CCL23
MA0462.1.BATF::JUN	1.2533e-01	1.0000e+00	5	10	4443	19724	33.33%	18.38%	CREB5,CASP5,KIAA0226L,LRRK2,TNFAIP6
MA0492.1.JUND.var.2	1.3414e-01	1.0000e+00	5	10	4536	19631	33.33%	18.77%	MAP1LC3A,LRRC31,CREB5,EMR3,TNFAIP6
MA0484.1.HNF4G	1.5914e-01	1.0000e+00	7	8	7586	16581	46.67%	31.39%	DDIT4,LRRK2,LRRC31,KIAA0226L,SIGLEC10,MAP1LC3A,CCL23
