FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0470.1.E2F4	1.3337e-82	2.7341e-80	136	180	421	8069	43.04%	4.96%	PTGS2,PMAIP1,SPRED2,PI4K2B,ATP2C1,MAFF,MAP3K8,SQRDL,LOC100130476,SLC43A3,PNPLA1,MAP3K4,NAMPT,IRAK2,DLEU2,LYN,LSS,SOD2,SMCO4,KIAA0226L,MYO1B,SERPINB9,MAP1LC3A,IP6K1,C1ORF122,CXCL6,SLC2A6,ACSL1,ACSL4,ADORA2A-AS1,AHR,PRR16,TMEM44,UGP2,MMP14,MESDC1,UGCG,FOXP1,SLC7A5,ZNF697,NFKBIZ,TNFRSF18,XRCC6,MST4,PDPN,LOC344967,FAM129A,SYT17,ITGB8,TNFRSF4,TRAF3IP2,FNDC3B,B4GALT5,ORAI1,TUBB8,TUBB6,MN1,UBE2E2,PFKFB3,SFPQ,INSIG1,PHLDB1,PGM3,ARNT2,ETV3,ETV5,LRIG1,GCH1,TNFAIP3,DNAJC3,WNT5A,ACTR3,FAM134B,STX1A,EHD1,PAOX,SMS,RAP1B,HCK,FH,PIK3AP1,TBC1D9,BTG3,PION,BAIAP2L1,DNAJB5,PSMA3,PSMA6,NBN,NFKB1,NFKB2,FTH1,SGPP2,XK,CLIC4,GABPB1,SIAH2,AMPH,GMPPB,FERMT2,ASAP1,ADA,OLIG2,LRRFIP2,MTF1,METTL1,STX11,STEAP1,LPAR1,EBI3,ASAP2,SVIL,DESI1,CD58,MGLL,WTAP,ADAM17,ZC3H12C,SERPINA1,GCLM,FAM60A,CEP135,ATP5G1,N4BP2,NR3C1,CD44,USP12,MAN1C1,GPC4,METTL21B,TNC,MCOLN2,TRIP10,FIGNL1,SASH1,ARSG,E2F3,YRDC,AZIN1,SLC16A6,ARHGAP31,PPP3CC,PTPRJ
MA0506.1.NRF1	1.7066e-78	1.7493e-76	113	203	259	8231	35.76%	3.05%	RNF14,PMAIP1,FSD1L,CPD,SPRED2,PI4K2B,ATP2C1,SQLE,UGP2,MAP3K8,CEP135,LOC728431,MAP3K4,MARCKS,DLEU2,XK,TNFRSF9,LSS,SOD2,SERPINB9,GYPC,HSDL1,C1ORF122,SLC2A6,ACSL1,ACSL4,ADORA2A-AS1,PRR16,TUBB4B,PLAGL2,MESDC1,UGCG,SLC7A5,NFKBIZ,ARFGAP3,IFNGR2,XRCC6,ADORA2A,MST4,LOC100288911,NR5A2,NINJ1,FNDC3B,B4GALT5,ORAI1,MRPL14,TUBB6,UBE2E2,INSIG1,CHST2,ARNT2,ETV3,LRIG1,GCH1,DNAJC3,LOC100129518,WNT5A,ACTR3,FAM134B,STX1A,PAOX,EIF1AX,SMS,NAMPT,DNAAF1,MCTP1,POFUT1,TBC1D9,ZHX2,PSMA3,ACAT2,PSMA6,NBN,FTH1,SGPP2,MIR155HG,SRC,CLIC4,GABPB1,SIAH2,FAM49B,ADA,SLC43A3,OLIG1,TMEM63B,MTF1,METTL1,LPAR1,PFKFB3,ASAP2,CDC42,MAP4K4,DESI1,CD58,MGLL,ZC3H12A,ZC3H12C,GCLM,MLLT6,GJB2,FAM60A,RFTN1,DAPK1,PPP3CC,TRAF1,NR3C1,ITGB8,GTPBP4,MAN1C1,METTL21B,TNC,MCOLN2,VASP,MAFF,SYT17,ARSG,E2F3,THAP5,YRDC,AZIN1,SLC16A6,SCN1B,CRIM1
MA0516.1.SP2	1.5095e-68	9.8257e-67	249	67	2555	5935	78.8%	30.09%	CD38,PTGS2,PMAIP1,UBE2J1,MIR4752,FSD1L,CPD,SPRED2,PI4K2B,IKBKE,SERPINB9,ATP2C1,SQLE,UGP2,SEMA3C,MAP3K8,CYP3A5,EHD1,SQRDL,LOC100130476,OLIG2,LOC728431,LOC344967,MAP3K4,ZSWIM4,MYO1G,MARCKS,NAMPT,ZC3HAV1,MANF,IRAK2,DLEU2,LYN,HDGF,IL36G,CYP27B1,LSS,SOD2,SMCO4,KIAA0226L,MYO1B,TNIP2,MAP1LC3A,TMEM109,SLC25A24,TRAF3IP2,RFX8,GYPC,HSDL1,IP6K1,C1ORF122,PLD1,CXCL6,APOL3,ACSL1,ACSL4,ACSL5,AHR,CCM2L,MAMLD1,PRR16,BTG3,PLAGL2,TMEM44,ETV3L,CCL3L3,CCL3L1,MSANTD3,MMP14,MESDC1,UGCG,FOXP1,MIR1275,LOC100132891,EMR1,NFKBIA,ZNF697,NFKBIZ,IL6,PDLIM7,IFNGR2,PANX1,PIM2,LAMB3,VIM,TMEM132A,TNFRSF18,XRCC6,ADORA2A,SLC11A2,MYBPH,MST4,GRAMD3,LOC100288911,FAM129A,NR5A2,MN1,TNFRSF4,CCL20,MAFF,B4GALT5,PGM3,G0S2,ORAI1,MRPL14,TUBB8,TUBB6,GBP2,UBE2E2,SLC39A8,SFPQ,TP53INP2,TNC,PHLDB1,PTGES,CHST2,KIF3B,TUBB4B,ARNT2,CRIM1,IL1RN,ETV3,ETV5,LRIG1,CD274,GCH1,TNFAIP3,DNAJC3,UBE2Z,IL8,GPC4,WNT5A,IL15RA,FAM134B,SKIL,STX1A,CCL2,MYC,ACP2,CCL3,PAOX,EIF1AX,INSIG1,SMS,RAP1B,ANAPC10,SHROOM3,HGF,HCK,FH,DNAAF1,MCTP1,PIK3AP1,POFUT1,DRAM1,TBC1D9,STAT4,PELI1,PION,MPZL1,ZHX2,ALCAM,BAIAP2L1,TPM4,DNAJB5,PSMA3,ACAT2,PSMA6,NBN,GLIS3,NFKB1,NFKB2,FTH1,SGPP2,SRC,CLIC4,GABPB1,SIAH2,PNPLA1,NINJ1,AMPH,GMPPB,FERMT2,ASAP1,ADA,ADM,SLC43A3,IL4I1,CELA1,ITGB8,TMEM63B,FAM65B,LRRFIP2,MTF1,METTL1,OSGIN1,RIN2,STX11,STEAP1,TMEM237,LPAR1,VTRNA1-3,PFKFB3,ASAP2,CDC42,CD276,SVIL,MAP4K4,DESI1,LIMK2,CD58,LAIR2,MGLL,WTAP,ADAM17,ZC3H12A,ZC3H12C,MSC,P2RX4,P2RX7,SERPINA1,GCLM,SLC2A6,MLLT6,GJB2,FAM60A,RFTN1,FNDC3B,ATP5G1,DAPK1,N4BP2,TRAF1,NR3C1,SLC7A5,CD44,XK,CD40,ADORA2A-AS1,USP12,MAN1C1,MIR22HG,METTL21B,EBF1,MCOLN2,TRIP10,VASP,FIGNL1,LOC100129518,LILRB2,SYT17,CASP4,ARSG,E2F3,THAP5,ACTR3,YRDC,C1QTNF1,AZIN1,SLC16A6,ARHGAP31,SCN1B,EBI3,RHOBTB3,LILRA5,PTPRJ,SLC1A3
MA0162.2.EGR1	1.9172e-68	9.8257e-67	217	99	1832	6658	68.67%	21.58%	CD38,PTGS2,PMAIP1,RNF14,MIR4752,FSD1L,CPD,SPRED2,PI4K2B,IKBKE,SERPINB9,ATP2C1,SQLE,UGP2,MAP3K8,EHD1,SQRDL,LOC100130476,OLIG2,LOC728431,LOC344967,MAP3K4,ZSWIM4,MYO1G,MARCKS,NAMPT,IRAK2,DLEU2,LYN,IL36G,CYP27B1,LSS,SOD2,SMCO4,MYO1B,TNIP2,MAP1LC3A,TMEM109,DFNA5,RFX8,HSDL1,IP6K1,C1ORF122,PLD1,APOL3,ACSL1,ACSL4,VIM,AHR,CCM2L,PRR16,DAPK1,BTG3,PLAGL2,TMEM44,ETV3L,CCL3L3,CCL3L1,MSANTD3,MESDC1,UGCG,FOXP1,MIR1275,LOC100132891,EMR1,NFKBIA,ZNF697,NFKBIZ,IL6,PDLIM7,IFNGR2,PANX1,PIM2,ADORA2A-AS1,TMEM132A,TNFRSF18,XRCC6,ADORA2A,MYBPH,MST4,PDPN,LOC100288911,FAM129A,NR5A2,NINJ1,TNFRSF4,CCL20,MAFF,B4GALT5,PGM3,LZTS1,G0S2,ORAI1,MRPL14,TUBB8,DLD,TUBB6,MN1,BID,SLC39A8,SFPQ,TP53INP2,PHLDB1,PTGES,UBE2E2,TUBB4B,ARNT2,CRIM1,ETV3,ETV5,LRIG1,CD274,GCH1,TNFAIP3,DNAJC3,UBE2Z,GPC4,WNT5A,IL15RA,FAM134B,MYC,ACP2,PAOX,EIF1AX,INSIG1,SMS,RAP1B,HGF,HCK,FH,DNAAF1,MCTP1,PIK3AP1,POFUT1,DRAM1,TBC1D9,CHST2,PELI1,PION,MPZL1,ZHX2,ALCAM,BAIAP2L1,TPM4,DNAJB5,ACAT2,PSMA6,NBN,GLIS3,NFKB1,NFKB2,FTH1,SGPP2,MIR155HG,SRC,CLIC4,GABPB1,SIAH2,PNPLA1,AMPH,GMPPB,FERMT2,ASAP1,ADA,ADM,SLC43A3,IL4I1,CELA1,IL2RA,TMEM63B,LRRFIP2,MTF1,OSGIN1,STX11,STEAP1,LPAR1,VTRNA1-3,PFKFB3,ASAP2,CD276,SVIL,MAP4K4,DESI1,CD58,WTAP,ADAM17,ZC3H12A,ZC3H12C,MSC,P2RX7,SERPINA1,GCLM,MLLT6,GJB2,FAM60A,RFTN1,CXCR7,FNDC3B,ATP5G1,PPP3CC,N4BP2,NR3C1,SLC7A5,ITGB8,XK,USP12,MAN1C1,MIR22HG,RHOBTB3,EBF1,MCOLN2,TRIP10,VASP,FIGNL1,LOC100129518,LILRB2,SYT17,CASP4,ARSG,E2F3,THAP5,ACTR3,YRDC,C1QTNF1,AZIN1,SLC16A6,ARHGAP31,SCN1B,EBI3,LILRA5,PTPRJ,SLC1A2,SLC1A3
MA0024.2.E2F1	1.3749e-64	5.6372e-63	123	193	471	8019	38.92%	5.55%	PTGS2,PMAIP1,SPRED2,PI4K2B,ATP2C1,UGP2,MAP3K8,EHD1,CEP135,LOC100130476,SLC43A3,EIF1AX,PNPLA1,ZSWIM4,MANF,IRAK2,DLEU2,XK,SMCO4,NAMPT,SERPINB9,MAP1LC3A,C1ORF122,HSDL1,IP6K1,RFX8,CXCL6,ACSL4,VIM,PRR16,MESDC1,UGCG,FOXP1,ZNF697,NFKBIZ,ARFGAP3,ADORA2A-AS1,XRCC6,MST4,PDPN,LOC344967,FAM129A,LSS,NINJ1,TNFRSF4,TRAF3IP2,MAFF,B4GALT5,ORAI1,TUBB8,TUBB6,MN1,UBE2E2,SFPQ,INSIG1,PHLDB1,PGM3,ARNT2,ETV5,LRIG1,GCH1,TNFAIP3,DNAJC3,LOC100129518,WNT5A,ACTR3,FAM134B,STX1A,ACP2,PAOX,SMS,RAP1B,DNAAF1,PIK3AP1,TBC1D9,BTG3,PION,ZHX2,ALCAM,DNAJB5,PSMA3,ACAT2,PSMA6,NFKB1,NFKB2,FTH1,SRC,WTAP,GABPB1,SIAH2,GMPPB,ASAP1,ADA,ADM,OLIG2,OLIG1,METTL1,STX11,STEAP1,LPAR1,PFKFB3,ASAP2,CD276,SVIL,MAP4K4,DESI1,CD58,MGLL,ADAM17,ZC3H12C,XBP1,GCLM,FAM60A,FNDC3B,N4BP2,NR3C1,ITGB8,USP12,GTPBP4,MAN1C1,GPC4,METTL21B,MCOLN2,TRIP10,FIGNL1,ARSG,YRDC,AZIN1,SLC16A6,ARHGAP31,PPP3CC,PTPRJ
MA0469.1.E2F3	1.8889e-62	5.6569e-61	176	140	1214	7276	55.7%	14.3%	PTGS2,PMAIP1,UBE2J1,MIR4752,SPRED2,PI4K2B,ATP2C1,SQLE,UGP2,MAP3K8,EHD1,SQRDL,LOC100130476,EIF1AX,LOC344967,MARCKS,NAMPT,CAPN2,SASH1,IRAK2,DLEU2,MYC,XK,LSS,SOD2,SMCO4,KIAA0226L,MYO1B,SERPINB9,MAP1LC3A,TMEM109,DFNA5,FNDC3B,IP6K1,C1ORF122,CXCL6,SLC2A6,ACSL1,ACSL4,VIM,AHR,CCM2L,PRR16,TUBB4B,PLAGL2,TMEM44,CCL3L3,CCL3L1,MMP14,MESDC1,UGCG,FOXP1,MIR1275,EMR1,ZNF697,NFKBIZ,IL6,PDLIM7,IFNGR2,LAMB3,ADORA2A-AS1,TMEM132A,TNFRSF18,XRCC6,GTF2E1,MYBPH,MST4,LOC100288911,FAM129A,SYT17,TNFRSF4,TRAF3IP2,MAFF,B4GALT5,PGM3,ORAI1,MRPL14,TUBB8,TUBB6,MN1,UBE2E2,SLC39A8,PFKFB3,SFPQ,TP53INP2,PHLDB1,CHST2,ARNT2,IL1RN,ETV3,ETV5,LRIG1,GCH1,TNFAIP3,DNAJC3,IL8,GPC4,WNT5A,ACTR3,FAM134B,SKIL,STX1A,TNC,ACP2,CCL3,PAOX,INSIG1,SMS,RAP1B,HCK,FH,MCTP1,POFUT1,DRAM1,TBC1D9,BTG3,PION,MPZL1,ZHX2,ALCAM,TPM4,PSMA6,NBN,NFKB1,NFKB2,FTH1,SGPP2,SRC,CLIC4,GABPB1,SIAH2,PNPLA1,GMPPB,FERMT2,ASAP1,ADA,ADM,OLIG2,OLIG1,TMEM63B,LRRFIP2,MTF1,METTL1,OSGIN1,STX11,RNF144B,LPAR1,EBI3,ASAP2,SVIL,MAP4K4,DESI1,LIMK2,CD58,MGLL,WTAP,ADAM17,ZC3H12C,RABL3,XBP1,GCLM,MLLT6,GJB2,FAM60A,RFTN1,CEP135,ATP5G1,PPP3CC,N4BP2,TRAF1,NR3C1,ITGB8,MAN1C1,MIR22HG,METTL21B,EBF1,MCOLN2,TRIP10,FIGNL1,LILRB2,SLC35F5,ARSG,E2F3,YRDC,AZIN1,SLC16A6,ARHGAP31,SCN1B,CRIM1,PTPRJ
MA0599.1.KLF5	1.9316e-62	5.6569e-61	234	82	2361	6129	74.05%	27.81%	CD38,MIR4752,PMAIP1,UBE2J1,CPD,SPRED2,PI4K2B,IKBKE,SERPINB9,ATP2C1,SQLE,UGP2,MAP3K8,EHD1,CEP135,LOC100130476,OLIG2,LOC728431,LOC344967,MAP3K4,ZSWIM4,MYO1G,MARCKS,NAMPT,ZC3HAV1,MRPL52,IRAK2,DLEU2,LYN,HDGF,IL36G,NR5A2,LSS,SOD2,KIAA1211,SMCO4,SEMA3C,RAP1B,TNIP2,MAP1LC3A,TMEM109,SLC25A24,TRAF3IP2,RFX8,GYPC,HSDL1,IP6K1,SMPDL3A,C1ORF122,PLD1,CXCL6,SLC2A6,ACSL1,ACSL4,VIM,AHR,CCM2L,MAMLD1,PRR16,ZCCHC5,BTG3,TMEM44,MSANTD3,MMP14,MESDC1,UGCG,FOXP1,MIR1275,LOC100132891,EMR1,NFKBIA,ZNF697,NFKBIZ,IL6,FAM49B,PDLIM7,ARFGAP3,IFNGR2,PANX1,LAMB3,ADORA2A-AS1,TMEM132A,TNFRSF18,XRCC6,ADORA2A,SLC11A2,MYBPH,MST4,PDPN,GRAMD3,LOC100288911,FAM129A,TNFRSF9,HRH1,TNFRSF4,CCL20,MAFF,PGM3,ORAI1,MRPL14,TUBB8,TUBB6,MN1,RHOU,BID,SLC39A8,SFPQ,TP53INP2,TNC,PHLDB1,PTGES,UBE2E2,KIF3B,TUBB4B,ARNT2,ETV3,ETV5,LRIG1,CD274,GCH1,TNFAIP3,DNAJC3,UBE2Z,GPC4,WNT5A,ACTR3,FAM134B,RHOBTB3,STX1A,IL7R,MYC,ACP2,TNFAIP6,PAOX,EIF1AX,INSIG1,CYP4B1,HGF,HCK,DNAAF1,IL1B,MCTP1,PIK3AP1,DRAM1,TBC1D9,CHST2,PELI1,PION,MPZL1,ZHX2,ALCAM,BAIAP2L1,DNAJB5,OLIG1,PSMA6,GLIS3,NFKB1,NFKB2,FTH1,SGPP2,MIR155HG,SRC,CLIC4,SLC7A5,SIAH2,PNPLA1,NINJ1,AMPH,GMPPB,FERMT2,CASP5,ASAP1,ADA,ADM,SLC43A3,IL4I1,CELA1,ITGB8,TMEM63B,FAM65B,LRRFIP2,MTF1,METTL1,OSGIN1,RIN2,STX11,STEAP1,LPAR1,VTRNA1-3,PFKFB3,ASAP2,CD276,SVIL,MAP4K4,DTX2,DESI1,LIMK2,CD58,MGLL,WTAP,ADAM17,ZC3H12A,ZC3H12C,MSC,RABL3,SERPINA1,GCLM,MLLT6,GJB2,FAM60A,RFTN1,MYO1B,FNDC3B,APOL3,DAPK1,N4BP2,TRAF1,NR3C1,PIM2,GTF2E1,CD44,XK,CD40,USP12,GTPBP4,MAN1C1,MIR22HG,METTL21B,EBF1,MCOLN2,TRIP10,VASP,FIGNL1,LILRB2,SLC35F5,SYT17,CASP4,ARSG,E2F3,FSD1L,YRDC,C1QTNF1,AZIN1,SLC16A6,ARHGAP31,SCN1B,EBI3,CRIM1,PTPRJ
MA0039.2.Klf4	8.0708e-59	2.0681e-57	211	105	1949	6541	66.77%	22.96%	CD38,MIR4752,PMAIP1,UBE2J1,CPD,SPRED2,PI4K2B,IKBKE,SERPINB9,ATP2C1,SQLE,UGP2,MAP3K8,EHD1,LOC100130476,OLIG2,LOC728431,PNPLA1,MAP3K4,ZSWIM4,MYO1G,MARCKS,NAMPT,ZC3HAV1,MRPL52,IRAK2,DLEU2,LYN,IL36G,TNFRSF9,LSS,SOD2,KIAA1211,LARP7,SEMA3C,RAP1B,TNIP2,MAP1LC3A,TRAF3IP2,RFX8,GYPC,HSDL1,IP6K1,SMPDL3A,C1ORF122,PLD1,CXCL6,SLC2A6,ACSL1,ACSL4,VIM,AHR,CCM2L,MAMLD1,PRR16,BTG3,TMEM44,MSANTD3,MMP14,UGCG,LOC100132891,EMR1,NFKBIA,ZNF697,NFKBIZ,IL6,PDLIM7,ARFGAP3,IFNGR2,PANX1,LAMB3,TNFRSF18,XRCC6,ADORA2A,SLC11A2,MYBPH,MST4,PDPN,GRAMD3,LOC100288911,NR5A2,HRH1,TNFRSF4,CCL20,MAFF,PGM3,LZTS1,ORAI1,MRPL14,TUBB8,TUBB6,MN1,RHOU,BID,SLC39A8,SFPQ,TP53INP2,PHLDB1,PTGES,UBE2E2,KIF3B,TUBB4B,ARNT2,ETV3,LRIG1,CD274,CD276,TNFAIP3,DNAJC3,UBE2Z,GPC4,ACTR3,FAM134B,STX1A,MYC,ACP2,PAOX,EIF1AX,INSIG1,SMS,CYP4B1,HGF,HCK,DNAAF1,IL1B,MCTP1,PIK3AP1,DRAM1,CHST2,PELI1,PION,MPZL1,ZHX2,ALCAM,BAIAP2L1,DNAJB5,PSMA6,NFKB1,NFKB2,FTH1,SGPP2,SRC,CLIC4,SLC7A5,SIAH2,FAM49B,AMPH,GMPPB,FERMT2,ASAP1,ADA,ADM,SLC43A3,IL4I1,OLIG1,IL2RA,ITGB8,TMEM63B,FAM65B,LRRFIP2,MTF1,OSGIN1,STX11,LPAR1,VTRNA1-3,EBI3,ASAP2,CDC42,TNFAIP6,SVIL,MAP4K4,DTX2,DESI1,LIMK2,CD58,MGLL,WTAP,ADAM17,ZC3H12A,ZC3H12C,MSC,RABL3,SERPINA1,GCLM,MLLT6,GJB2,FAM60A,RFTN1,MYO1B,FNDC3B,DAPK1,TRAF1,NR3C1,PIM2,GTF2E1,CD44,XK,CD40,USP12,GTPBP4,MAN1C1,MIR22HG,RHOBTB3,EBF1,MCOLN2,TRIP10,VASP,FIGNL1,LILRB2,SLC35F5,SYT17,CASP4,ARSG,E2F3,FSD1L,YRDC,C1QTNF1,AZIN1,SLC16A6,ARHGAP31,SCN1B,CRIM1,PTPRJ
MA0472.1.EGR2	7.5391e-56	1.7172e-54	197	119	1742	6748	62.34%	20.52%	CD38,PTGS2,UBE2J1,MIR4752,SPRED2,PI4K2B,IKBKE,SERPINB9,ATP2C1,SQLE,UGP2,MAP3K8,EHD1,LOC100130476,OLIG2,LOC728431,MAP3K4,ZSWIM4,PF4V1,MARCKS,NAMPT,IP6K1,MANF,IRAK2,DLEU2,MYC,XK,LSS,SMCO4,MYO1B,TNIP2,TMEM109,DFNA5,TRAF3IP2,RFX8,CYP3A5,HSDL1,SERPINB7,C1ORF122,SLC2A6,ACSL1,ACSL4,VIM,PRR16,ZCCHC5,BTG3,PLAGL2,TMEM44,MSANTD3,MMP14,MESDC1,UGCG,CCL7,MIR1275,LOC100132891,GLIS3,NFKBIA,PDLIM7,ARFGAP3,IFNGR2,TUBB4B,ADORA2A-AS1,TMEM132A,TNFRSF18,XRCC6,GTF2E1,SLC11A2,LILRB2,MST4,PDPN,GRAMD3,LOC100288911,FAM129A,SYT17,MN1,TNFRSF4,CCL20,MAFF,B4GALT5,PGM3,LZTS1,G0S2,ORAI1,MRPL14,TUBB8,DLD,TUBB6,GBP2,BID,PFKFB3,SFPQ,INSIG1,PHLDB1,PTGES,UBE2E2,ARNT2,ETV3,ETV5,LRIG1,CD274,GCH1,TNFAIP3,DNAJC3,UBE2Z,GPC4,WNT5A,IL15RA,TNC,ACP2,PAOX,EIF1AX,RAP1B,FH,DNAAF1,MCTP1,PIK3AP1,POFUT1,TBC1D9,CHST2,FAM186B,PION,ZHX2,CD80,BAIAP2L1,DNAJB5,PSMA6,NBN,NFKB1,NFKB2,FTH1,SGPP2,MIR155HG,SRC,CLIC4,SLC7A5,PELI1,NINJ1,AMPH,GMPPB,FERMT2,ASAP1,ADA,ADM,SLC43A3,IL2RA,ITGB8,TMEM63B,LRRFIP2,CCM2L,METTL1,OSGIN1,STX11,STEAP1,LPAR1,VTRNA1-3,EBI3,ASAP2,CD276,SVIL,MAP4K4,DESI1,CD58,MGLL,WTAP,GABPB1,MAP7,ADAM17,ZC3H12A,ZC3H12C,MSC,MYOF,P2RX7,GCLM,MLLT6,GJB2,RABL3,RFTN1,CXCR7,FNDC3B,ATP5G1,DAPK1,PPP3CC,TRAF1,NR3C1,PIM2,CD44,CD40,USP12,GTPBP4,MAN1C1,MIR22HG,METTL21B,EBF1,TRIP10,VASP,FIGNL1,SLC35F5,CASP7,ARSG,E2F3,FSD1L,ACTR3,YRDC,C1QTNF1,AZIN1,SLC16A6,ARHGAP31,SCN1B,CRIM1,PTPRJ,SLC1A2,SLC1A3
MA0079.3.SP1	5.2094e-54	1.0679e-52	247	69	2951	5539	78.16%	34.76%	CD38,PTGS2,PMAIP1,UBE2J1,MIR4752,FSD1L,CPD,SPRED2,PI4K2B,IKBKE,SERPINB9,ATP2C1,SQLE,UGP2,MAP3K8,EHD1,SQRDL,LOC100130476,OLIG2,LOC728431,LOC344967,MAP3K4,ZSWIM4,MYO1G,MARCKS,NAMPT,IRAK2,DLEU2,LYN,HDGF,IL36G,CYP27B1,LSS,SOD2,SMCO4,KIAA0226L,MYO1B,TNIP2,MAP1LC3A,TMEM109,SLC25A24,TRAF3IP2,RFX8,HSDL1,IP6K1,C1ORF122,PLD1,CXCL6,APOL3,ACSL1,ACSL4,ACSL5,AHR,CCM2L,MAMLD1,PRR16,BTG3,PLAGL2,TMEM44,ETV3L,CCL3L3,CCL3L1,MSANTD3,MMP14,MESDC1,UGCG,FOXP1,MIR1275,LOC100132891,EMR1,NFKBIA,ZNF697,NFKBIZ,IL6,FAM49B,PDLIM7,IFNGR2,PANX1,PIM2,LAMB3,VIM,TMEM132A,TNFRSF18,XRCC6,ADORA2A,SLC11A2,MYBPH,MST4,PDPN,GRAMD3,LOC100288911,FAM129A,NR5A2,ITGB8,TNFRSF4,CCL20,CCL23,B4GALT5,HNMT,PGM3,G0S2,ORAI1,MRPL14,TUBB8,TUBB6,MN1,UBE2E2,SLC39A8,STEAP1,SFPQ,TP53INP2,TNC,PHLDB1,PTGES,CHST2,KIF3B,TUBB4B,ARNT2,CRIM1,IL1RN,ETV3,ETV5,LRIG1,CD274,GCH1,TNFAIP3,DNAJC3,UBE2Z,IL8,CD80,GPC4,WNT5A,PNPLA1,IL15RA,FAM134B,SKIL,STX1A,CCL2,MYC,ACP2,PAOX,EIF1AX,INSIG1,SMS,RAP1B,ANAPC10,SHROOM3,HGF,HCK,FH,DNAAF1,IL1B,MCTP1,PIK3AP1,POFUT1,DRAM1,TBC1D9,FAM186B,PION,MPZL1,ZHX2,ALCAM,BAIAP2L1,TPM4,DNAJB5,PSMA3,ACAT2,PSMA6,GLIS3,NFKB1,NFKB2,FTH1,SGPP2,SRC,WTAP,GABPB1,SIAH2,PELI1,NINJ1,AMPH,GMPPB,FERMT2,ASAP1,ADA,ADM,SLC43A3,IL4I1,CELA1,SEMA3C,TMEM63B,FAM65B,LRRFIP2,MTF1,METTL1,OSGIN1,RIN2,STX11,SLAMF7,LPAR1,VTRNA1-3,PFKFB3,ASAP2,CDC42,CD276,SVIL,MAP4K4,DTX2,DESI1,LIMK2,CD58,LAIR2,MGLL,ADAM17,ZC3H12A,ZC3H12C,MSC,P2RX4,P2RX7,SERPINA1,GCLM,SLC2A6,MLLT6,GJB2,FAM60A,RFTN1,FNDC3B,ATP5G1,DAPK1,N4BP2,TRAF1,NR3C1,SLC7A5,CD44,XK,CD40,ADORA2A-AS1,USP12,MAN1C1,MIR22HG,METTL21B,EBF1,MCOLN2,TRIP10,VASP,FIGNL1,MAFF,LOC100129518,LILRB2,SYT17,CASP4,ARSG,E2F3,THAP5,ACTR3,YRDC,C1QTNF1,AZIN1,SLC16A6,ARHGAP31,SCN1B,EBI3,RHOBTB3,LILRA5,PTPRJ
