FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0500.1.Myog	7.7006e-03	4.1787e-01	4	1	1758	6732	80.0%	20.71%	EGR2,PIP,DHRS9,KAT2A,HSPB9
MA0521.1.Tcf12	8.3866e-03	4.1787e-01	4	1	1798	6692	80.0%	21.18%	EGR2,PIP,DHRS9,KAT2A,HSPB9
MA0506.1.NRF1	8.8439e-03	4.1787e-01	2	3	259	8231	40.0%	3.05%	FAIM3,KAT2A,HSPB9
MA0488.1.JUN	1.1822e-02	4.1787e-01	4	1	1969	6521	80.0%	23.19%	EGR2,FAIM3,PIP,DHRS9
MA0113.2.NR3C1	1.2142e-02	4.1787e-01	4	1	1983	6507	80.0%	23.36%	PIP,FAIM3,DHRS9,KAT2A,HSPB9
MA0499.1.Myod1	1.2304e-02	4.1787e-01	4	1	1990	6500	80.0%	23.44%	EGR2,PIP,DHRS9,KAT2A,HSPB9
MA0471.1.E2F6	1.4269e-02	4.1787e-01	4	1	2070	6420	80.0%	24.38%	PIP,FAIM3,DHRS9,KAT2A,HSPB9
MA0522.1.Tcf3	1.9426e-02	4.4699e-01	4	1	2248	6242	80.0%	26.48%	EGR2,PIP,DHRS9,KAT2A,HSPB9
MA0048.1.NHLH1	1.9624e-02	4.4699e-01	3	2	1139	7351	60.0%	13.42%	EGR2,PIP,KAT2A,HSPB9
MA0470.1.E2F4	2.2376e-02	4.5871e-01	2	3	421	8069	40.0%	4.96%	EGR2,KAT2A,HSPB9
MA0024.2.E2F1	2.7649e-02	4.8365e-01	2	3	471	8019	40.0%	5.55%	EGR2,KAT2A,HSPB9
MA0591.1.Bach1::Mafk	2.8311e-02	4.8365e-01	3	2	1301	7189	60.0%	15.32%	EGR2,FAIM3,DHRS9
MA0003.2.TFAP2A	3.7891e-02	5.6064e-01	3	2	1448	7042	60.0%	17.06%	EGR2,FAIM3,DHRS9
MA0057.1.MZF1_5-13	3.8531e-02	5.6064e-01	3	2	1457	7033	60.0%	17.16%	PIP,FAIM3,DHRS9
MA0495.1.MAFF	4.1022e-02	5.6064e-01	4	1	2753	5737	80.0%	32.43%	PIP,FAIM3,DHRS9,KAT2A,HSPB9
MA0076.2.ELK4	5.6738e-02	7.2695e-01	2	3	694	7796	40.0%	8.17%	FAIM3,DHRS9
MA0498.1.Meis1	7.6376e-02	9.2100e-01	3	2	1885	6605	60.0%	22.2%	FAIM3,DHRS9,KAT2A,HSPB9
MA0163.1.PLAG1	8.1641e-02	9.2980e-01	3	2	1934	6556	60.0%	22.78%	FAIM3,DHRS9,KAT2A,HSPB9
MA0528.1.ZNF263	8.8215e-02	9.5179e-01	5	0	5223	3267	100.0%	61.52%	FAIM3,DHRS9,EGR2,KAT2A,HSPB9,PIP
