FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0470.1.E2F4	3.5234e-06	7.2230e-04	7	8	421	8069	46.67%	4.96%	SERPINA1,DDIT4,LRRK2,KIAA0226L,MET,SIGLEC10,MAP1LC3A
MA0504.1.NR2C2	1.9341e-04	1.4998e-02	10	5	1800	6690	66.67%	21.2%	SERPINA1,DDIT4,CCM2L,LRRC31,CREB5,KIAA0226L,MET,SIGLEC10,MAP1LC3A,CCL23
MA0159.1.RXR::RAR_DR5	2.1948e-04	1.4998e-02	9	6	1439	7051	60.0%	16.95%	CASP5,LRRK2,CCM2L,EMR2,EMR3,KIAA0226L,MET,MAP1LC3A,CREB5
MA0599.1.KLF5	3.3029e-04	1.5214e-02	11	4	2361	6129	73.33%	27.81%	SERPINA1,CASP5,DDIT4,LRRK2,CCM2L,LRRC31,CREB5,TNFAIP6,MET,SIGLEC10,MAP1LC3A
MA0039.2.Klf4	3.8726e-04	1.5214e-02	10	5	1949	6541	66.67%	22.96%	SERPINA1,DDIT4,LRRK2,CCM2L,LRRC31,CREB5,TNFAIP6,MET,SIGLEC10,MAP1LC3A
MA0469.1.E2F3	4.4530e-04	1.5214e-02	8	7	1214	7276	53.33%	14.3%	DDIT4,LRRK2,CCM2L,CREB5,KIAA0226L,MET,SIGLEC10,MAP1LC3A
MA0149.1.EWSR1-FLI1	6.1172e-04	1.7915e-02	13	2	3627	4863	86.67%	42.72%	SERPINA1,CASP5,DDIT4,LRRK2,TNFAIP6,CCM2L,CREB5,EMR3,KIAA0226L,MET,SIGLEC10,MAP1LC3A,CCL23
MA0080.3.Spi1	7.8125e-04	2.0020e-02	13	2	3704	4786	86.67%	43.63%	CASP5,LRRK2,TNFAIP6,CCM2L,LRRC31,EMR2,EMR3,KIAA0226L,MET,SIGLEC10,MAP1LC3A,CCL23,CREB5
MA0162.2.EGR1	1.4216e-03	3.2381e-02	9	6	1832	6658	60.0%	21.58%	SERPINA1,DDIT4,LRRK2,CCM2L,LRRC31,CREB5,MET,SIGLEC10,MAP1LC3A
MA0079.3.SP1	2.6843e-03	5.5028e-02	11	4	2951	5539	73.33%	34.76%	SERPINA1,DDIT4,LRRK2,CCM2L,LRRC31,CREB5,KIAA0226L,MET,SIGLEC10,MAP1LC3A,CCL23
MA0471.1.E2F6	3.5285e-03	6.4647e-02	9	6	2070	6420	60.0%	24.38%	LRRK2,CCM2L,LRRC31,CREB5,EMR3,KIAA0226L,MET,SIGLEC10,MAP1LC3A
