FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0594.1.Hoxa9	1.3083e-02	1.0000e+00	49	165	4018	19950	22.9%	16.76%	MGC16121,IMMP2L,SMAD4,NUAK2,MIR1256,LOC100129858,MIR548H4,AP3S2,RBBP6,SEPT9,DCP1B,HIST1H1E,SMOC2,EDNRB,SPAG17,PAXBP1,C15ORF38-AP3S2,NCOR1,CCDC101,KIAA0907,PRH1-PRR4,ARAP1,MIR450B,CAST,PDPR,WBP1L,WHAMM,PHIP,TMEM222,TTN,LBX2,TAS2R10,R3HDM2,HEMGN,NREP-AS1,NREP,TRRAP,CSF3R,RNU6-28,NCOA6,SPRR2G,RNU6-19,HBB,GYPE,MIR503,KRTAP20-3,SCOC,LINC00439,FAM78A,HBG2,LBX2-AS1,CTAGE10P,MIR450A1,TREML3P,NUP214,RNU6-6,FOLR2
MA0506.1.NRF1	2.7654e-02	1.0000e+00	83	131	7748	16220	38.79%	32.33%	HECTD3,FABP5P3,ZCCHC14,RPGR,B2M,SETD1B,ANP32A,RREB1,GPR180,PRPF31,GABARAP,NUP214,IGF1R,NPR3,ZMYM4,FAIM3,WNK1,UBE2R2,ARID1A,LOC100216545,MIR1281,POM121C,HELZ,MLL3,MLL5,MLL4,UROD,VPREB3,USP49,KANSL1L,UBE3A,HAUS3,NID1,ABCA17P,RBM33,ZBTB32,MLLT10,CUX1,TRRAP,SPRR2G,MED13L,FAM78A,BTBD7,CREBBP,BTBD2,MGC16121,SMAD4,NBPF3,AKAP11,PAXBP1,A2M,NCOA6,PRH1-PRR4,NEDD1,TFPT,MARK4,PHIP,ELMSAN1,LOC646719,QSER1,SCAF4,PLEKHM2,DTNB,PCIF1,ADA,HIST1H1E,EP300,MIR503,ATXN2L,BOD1L1,MIR5091,ABCA3,FAM89A,JARID2,RNU6-19,CBLL1,NR1D1,SMOC2,SORBS3,LOC338799,CDK13,RNU6ATAC,NIPBL,TMEM222,GATAD2B,ZBTB4,NINJ1,RAB3C,HBA1,HBA2,RNU6-6,SCAP,FGD5-AS1,NOTCH1,NOTCH2
MA0442.1.SOX10	4.5571e-02	1.0000e+00	116	98	11546	12422	54.21%	48.17%	HECTD3,HIST1H4F,RPGR,FBXO10,NQO2,ZDHHC18,B2M,CCDC146,CHI3L2,GYPA,MIR450B,RREB1,KIAA0907,CTBS,A2MP1,MR1,GABARAP,EAF1,CLN3,ARHGAP24,CREBRF,PA2G4P4,SIRPG,IGF1R,NPR3,PDPR,PRRC2C,SLC45A4,WNK1,R3HDM2,ANKUB1,GYPE,NDP,KRTAP20-3,SCOC,ARID1A,POM121L9P,RBBP6,MIR450A1,POM121C,EMR1,NUAK2,MIR548H4,SEPT9,UROD,LY86,USP49,KANSL1L,UBE3A,HAUS3,C15ORF38-AP3S2,NID1,TTN,LY86-AS1,HEMGN,ZNF22,HSPBAP1,HMOX1,CTAGE10P,GPR180,FAIM3,LAMTOR5,BTBD7,RFPL1S,BTBD2,SMAD4,RNU6-28,LOC100129858,RFPL1,TENM1,LOC100996307,RNU6-34,PAXBP1,A2M,NCOR1,RNU6-33,NCOA6,PRH1-PRR4,CDRT15P2,MARK4,CAST,WBP1L,ELMSAN1,TMEM209,FGD3,NAT2,TET3,IL6R,SCAF4,NUP214,LOC730091,DTNB,PCIF1,TMEM140,IGF2BP1,HIST1H1E,BCAP31,ATXN2L,HBBP1,METTL6,RNU6-16,LEKR1,JARID2,RNU6-19,AP3S2,CBLL1,SMOC2,NR1D1,C10ORF25,ARAP1,CDK13,WHAMM,UBE2G1,TMEM222,RP1,ZBTB4,NINJ1,DIRC2,RAB3C,UBE2R2,HBA1,RNU6-6,NOTCH2,POGZ,MAP3K19,KAT6A,POU2F1
MA0057.1.MZF1_5-13	4.8178e-02	1.0000e+00	84	130	8049	15919	39.25%	33.58%	BPTF,FABP5P3,FRYL,ADD3,HIST1H4F,ZCCHC14,HBD,HBB,PRPF8,SETD1B,ANP32A,RREB1,RARA,CTBS,THRA,PDE7B,ARHGAP24,CREBRF,SIRPG,BCAP31,IGF1R,SLC45A4,WNK1,LOC100505933,ARID1A,POM121L9P,RBBP6,LOC100216545,MIR1281,N4BP2L2,EIF5A2,NUAK2,HELZ,MLL3,MLL5,MLL4,SNORD115-15,USP49,KANSL1L,NID1,ZBTB32,MAU2,MLLT10,SNORD115-21,CUX1,FAM89A,MED13L,IMMP2L,LAMTOR5,BTBD2,MGC16121,MIR1256,TENM1,AKAP11,RNU6-34,GABARAP,PAXBP1,RNU6-33,NCOA6,NEDD1,CAST,ALAS2,WBP1L,ELMSAN1,SUGP1,QSER1,TET3,NREP-AS1,PLEKHM2,NREP,PCIF1,IGF2BP1,IGF2BP3,EP300,MIR503,FAIM3,HBBP1,GNG12-AS1,GATAD2B,JARID2,CBLL1,SMOC2,LOC338799,RPGR,ARAP1,CDK13,WHAMM,UBE2G1,RP1,MLL,RAB3C,HBA2,BACE1,NUP214,CFP
MA0030.1.FOXF2	5.2627e-02	1.0000e+00	60	154	5525	18443	28.04%	23.05%	PDE7B,FAM78A,PAXBP1,HBD,EP300,RNU6-28,HBB,PRKXP1,BRD4,SETD1B,DCP1B,HIST1H1E,RNU6-34,SCAP,EDNRB,MIR1281,ACADL,MED13L,NCOR1,RNU6-33,LOC338799,HBA2,USP49,KANSL1L,NEDD1,RFPL1S,HELZ,MR1,CAST,PDPR,WBP1L,CLN3,WHAMM,PHIP,ELMSAN1,RFPL1,RP1,IGF1R,FOXJ3,FGD3,KRTAP20-3,DIRC2,NUP214,CUX1,CSF3R,TMEM140,HBA1,GYPA,INO80D,RNU6-19,NPIPL3,BACE1,HSPBAP1,LINC00439,FGD5-AS1,HBBP1,ALAS2,GNG12-AS1,MIR548H4,SORBS3,CTAGE10P,POGZ,FRAT1,MIR5091,N4BP2L2,BOD1L1,RNU6-6,BTBD2
MA0069.1.Pax6	5.6030e-02	1.0000e+00	32	182	2682	21286	14.95%	11.19%	BPTF,LEKR1,MIR1256,NQO2,LOC100129858,LOC100996307,DCP1B,HIST1H1E,RNU6-34,NCOR1,LY86,NCOA6,A2MP1,RNU6ATAC,THRA,TTN,CREBRF,RNU6-33,A1BG,SIRPG,KRTAP20-3,CBLL1,DIRC2,MLL,NREP-AS1,NREP,TMEM140,IGF2BP1,SCOC,LY86-AS1,ATXN2L,HSPBAP1,TPCN2,HBBP1,DDX43,CTAGE10P,A1BG-AS1,POU2F1
MA0596.1.SREBF2	6.1217e-02	1.0000e+00	59	155	5471	18497	27.57%	22.83%	BPTF,HECTD3,POM121C,HIST1H4F,ZNF280C,NREP,NBPF3,RNU6-19,AP3S2,RNU6-34,B2M,N4BP2L2,SEPT9,CHI3L2,SMOC2,UROD,RNU6-35,EDNRB,C15ORF38-AP3S2,NCOR1,RREB1,CCDC101,NCOA6,ARAP1,CAST,A2MP1,RNU6-64,HAUS3,GABARAP,RNU6-33,EAF1,PDPR,ABCA17P,SLC45A4,MIR147A,CLN3,PA2G4P4,METTL6,A1BG,FGD3,ZBTB4,NAT2,NINJ1,TRRAP,IL6R,NREP-AS1,PLEKHM2,LOC730091,CSF3R,ADA,ANKUB1,HBA2,NPIPL3,TMEM209,BACE1,TNFRSF1B,LINC00439,HBBP1,ALAS2,POM121L9P,MIR548H4,NOTCH2,TREML3P,LOC100996307,ABCA3,GATAD2B,MAP3K19,RNU6-6,A1BG-AS1,CFP
MA0017.1.NR2F1	6.4361e-02	1.0000e+00	67	147	6334	17634	31.31%	26.43%	BPTF,HECTD3,POM121C,ADD3,FAM78A,A1BG-AS1,EMR1,NUAK2,TMEM140,NQO2,POLA1,MIR548H4,RFPL1,RNU6-16,MAU2,RPGR,LBX2-AS1,SCAP,UROD,NR1D1,BOD1L1,C10ORF25,LY86,KIAA0907,FGD3,CCDC146,CDRT15P2,CTBS,NEDD1,TFPT,MR1,CAST,ALAS2,PDE7B,CLN3,SCARNA23,PHC3,NINJ1,MIR147A,PA2G4P4,FBXO10,SUGP1,SIRPG,FOXJ3,RBM33,ZMYM4,ATXN2L,LBX2,SLC45A4,TET3,DIRC2,MLLT10,IL6R,LOC730091,LOC100505933,UBE2R2,CSF3R,ZNF22,HSPBAP1,NPIPL3,LY86-AS1,BACE1,USP49,TNFRSF1B,FGD5-AS1,TPCN2,HBBP1,ARID1A,HMOX1,HBG2,NOTCH2,SPAG17,MIR5091,RFPL1S,SMOC2,LAMTOR5,A1BG,PRPF31,FOLR2,CBLL1
MA0515.1.Sox6	6.4686e-02	1.0000e+00	72	142	6869	17099	33.64%	28.66%	RNU6-16,HECTD3,POM121C,KRTAP20-3,ZNF280C,LEKR1,TMEM140,NBPF3,POLA1,AP3S2,PRPF8,B2M,CCDC146,SEPT9,DCP1B,MLL4,UROD,NR1D1,C10ORF25,A2M,NCOR1,TMED11P,RARA,USP49,KANSL1L,CTBS,RNU6-35,MR1,MGC16121,C15ORF38-AP3S2,MARK4,SMOC2,PDE7B,CLN3,WHAMM,GYPA,ELMSAN1,TMEM209,ZBTB32,RNU6-34,SCARNA23,SIRPG,MIR503,NPR3,LY86-AS1,RNU6-64,PRRC2C,NAT2,DIRC2,R3HDM2,SCAF4,NREP-AS1,LOC730091,UBE2R2,ZNF22,IGF2BP1,ANKUB1,INO80D,NPIPL3,GYPE,LY86,NDP,FAIM3,PA2G4P4,HSPBAP1,FGD5-AS1,HEMGN,RP1,ARID1A,KAT6A,MIR548H4,NOTCH2,SPAG17,POGZ,FRAT1,NREP,CFP,NUP214,BTBD7,RNU6-33,DDX43,CREBBP,POU2F1
MA0025.1.NFIL3	7.4775e-02	1.0000e+00	36	178	3159	20809	16.82%	13.18%	IMMP2L,RPGR,LEKR1,RNU6-28,HBB,AP3S2,N4BP2L2,CTAGE10P,ACADL,C15ORF38-AP3S2,NCOR1,TMED11P,CCDC101,NPR3,PRH1-PRR4,MIR450B,MARK4,CAST,ALAS2,PHIP,MIR147A,TMEM209,PA2G4P4,RP1,FOXJ3,NAT2,TAS2R10,HEMGN,LOC730091,CSF3R,TMEM140,EP300,TNFRSF1B,GNG12-AS1,HBG2,MIR1281,POGZ,MIR450A1,MAP3K19,POU2F1
